intersection_id,timestep,q_n,q_s,q_e,q_w,w_n,w_s,w_e,w_w,phase,elapsed
i0,0,1.8,2.7,2.7,3.5,2.8,3.5,2.8,3.6,1,0
i1,0,3.6,2.7,2.1,2.9,5.2,3.2,2.9,3.8,0,4
i2,0,2.4,2.1,1.5,3.0,3.5,1.6,2.6,2.9,0,1
i3,0,2.6,3.3,3.2,3.3,2.7,3.6,3.6,4.5,0,9
i4,0,4.1,1.9,4.0,3.5,6.3,2.3,3.9,3.9,0,8
i5,0,2.4,3.1,3.2,4.5,3.5,3.4,3.6,5.0,1,0
i6,0,3.1,3.5,2.6,1.7,3.4,4.7,4.2,2.1,0,5
i0,1,3.0,4.4,2.9,4.6,4.7,5.5,5.2,5.5,1,1
i1,1,4.7,2.6,3.8,4.3,4.0,3.8,5.2,4.9,0,5
i2,1,3.0,3.1,3.3,3.3,3.8,2.9,4.3,3.2,0,2
i3,1,3.8,4.9,3.6,4.1,6.1,4.8,5.3,5.6,0,10
i4,1,5.5,2.7,4.2,5.3,6.4,3.6,4.0,6.3,0,9
i5,1,4.0,4.4,3.9,5.4,4.4,6.4,4.9,7.3,1,1
i6,1,4.9,5.8,3.7,4.1,6.2,7.7,5.6,4.7,0,6
i0,2,3.3,4.4,4.4,4.8,4.0,4.3,5.9,6.0,1,2
i1,2,5.0,3.3,5.0,4.6,6.3,5.9,4.8,6.3,0,6
i2,2,3.6,4.5,4.5,3.8,3.9,5.7,5.4,4.9,0,3
i3,2,4.8,6.1,4.0,5.2,4.8,7.2,5.4,7.1,0,11
i4,2,5.9,2.8,5.5,4.8,8.5,5.2,7.3,6.2,0,10
i5,2,3.8,5.3,4.6,4.8,3.8,7.1,3.9,5.7,1,2
i6,2,6.6,6.8,4.1,5.6,9.0,8.9,7.8,7.0,0,7
i0,3,4.4,6.1,4.5,5.2,6.1,6.5,3.8,5.0,1,3
i1,3,5.1,3.6,3.5,5.2,7.2,5.1,4.2,7.6,0,7
i2,3,3.8,4.4,4.2,4.3,4.2,5.8,6.6,5.4,0,4
i3,3,4.6,5.2,4.5,6.6,6.6,5.9,6.2,7.3,0,12
i4,3,6.3,4.7,4.8,5.2,7.9,6.2,6.3,4.9,0,11
i5,3,4.7,7.3,4.6,4.5,7.2,9.3,4.8,7.2,1,3
i6,3,5.9,6.6,4.8,5.7,7.6,9.7,5.3,7.3,0,8
i0,4,4.4,6.2,5.6,5.5,5.0,7.1,8.0,6.8,1,4
i1,4,5.3,4.4,4.3,6.1,6.5,4.8,4.6,7.0,0,8
i2,4,4.6,5.8,5.5,4.0,5.7,6.1,6.7,5.2,0,5
i3,4,4.4,6.2,4.4,6.8,5.0,8.1,6.1,9.1,0,13
i4,4,6.5,5.1,5.8,5.8,7.2,6.8,6.7,6.5,0,12
i5,4,5.3,6.6,5.0,6.0,6.1,7.7,6.8,6.3,1,4
i6,4,5.9,7.0,6.3,6.2,6.4,9.3,8.3,8.9,0,9
i0,5,4.6,6.0,4.6,6.3,6.7,9.3,5.5,7.8,1,5
i1,5,6.6,4.5,2.7,4.5,9.1,4.9,3.2,4.7,0,9
i2,5,4.6,5.7,5.4,5.5,5.8,6.2,6.3,6.4,0,6
i3,5,5.4,6.7,4.7,7.6,6.7,8.1,5.0,10.0,0,14
i4,5,6.5,5.5,5.1,5.6,8.1,6.9,5.6,8.1,0,13
i5,5,5.2,6.7,5.0,6.8,6.3,8.5,5.6,9.5,1,5
i6,5,6.5,7.2,6.6,6.8,9.3,9.2,8.8,9.2,0,10
i0,6,5.4,6.5,4.4,5.0,6.7,8.5,6.5,6.4,1,6
i1,6,6.7,3.7,2.5,5.0,8.8,4.7,4.0,7.1,0,10
i2,6,4.6,4.6,6.5,5.4,6.6,3.9,8.3,6.9,0,7
i3,6,6.3,6.8,4.9,6.2,9.0,9.3,6.8,6.9,0,15
i4,6,8.5,5.4,5.5,5.6,11.5,5.5,8.5,8.3,0,14
i5,6,4.6,6.2,4.1,8.0,4.9,7.5,3.9,10.5,1,6
i6,6,8.1,7.4,7.0,6.9,10.0,9.4,9.1,8.2,0,11
i0,7,6.7,6.9,4.2,6.2,9.5,9.3,3.9,7.8,1,7
i1,7,5.5,3.8,4.0,4.7,6.1,4.3,4.2,5.7,0,11
i2,7,4.5,4.5,6.7,5.9,4.3,5.3,8.6,7.9,1,0
i3,7,5.9,7.0,5.6,6.8,7.4,8.9,6.4,8.4,0,16
i4,7,8.3,5.5,5.7,5.7,9.5,7.0,7.2,7.4,0,15
i5,7,5.7,6.3,6.0,8.2,6.5,7.6,7.9,10.2,1,7
i6,7,7.4,7.4,6.9,7.1,9.9,9.2,7.8,8.1,0,12
i0,8,4.9,7.0,4.2,6.3,7.0,8.8,4.7,7.5,1,8
i1,8,6.7,3.7,3.0,4.4,7.4,3.0,2.9,6.0,0,12
