intersection_id,timestep,q_n,q_s,q_e,q_w,w_n,w_s,w_e,w_w,phase,elapsed
i0,0,5.2,1.8,4.6,4.2,6.0,2.2,6.0,6.4,0,21
i1,0,3.7,2.7,5.1,3.4,5.8,5.3,5.9,4.5,0,4
i2,0,6.4,3.2,3.7,5.1,5.9,3.2,3.0,4.8,0,1
i3,0,4.3,6.0,5.8,5.9,4.9,8.6,6.3,7.8,0,9
i4,0,6.9,6.4,5.7,5.7,6.1,9.8,6.0,5.9,0,8
i0,1,4.4,3.2,6.2,5.9,7.2,3.1,6.9,8.4,1,0
i1,1,5.8,4.7,7.6,6.4,7.8,5.0,9.8,11.1,0,5
i2,1,7.9,6.2,4.6,7.2,7.0,9.7,2.9,8.2,0,2
i3,1,7.3,7.2,7.9,8.0,7.8,9.1,11.4,9.0,0,10
i4,1,10.8,11.6,8.8,7.8,13.9,15.3,8.9,8.9,0,9
i0,2,5.7,5.0,7.1,6.4,8.8,6.7,8.9,7.5,1,1
i1,2,7.1,5.1,9.5,7.1,9.2,5.4,11.7,9.7,0,6
i2,2,8.8,10.0,6.1,8.6,10.7,12.9,6.7,9.9,0,3
i3,2,10.0,9.0,10.0,10.8,11.7,10.2,13.6,14.7,0,11
i4,2,12.0,12.2,11.9,10.7,12.8,15.0,12.9,10.3,0,10
i0,3,7.6,7.2,8.3,7.1,9.0,9.4,10.9,8.0,1,2
i1,3,7.9,9.5,8.8,8.4,10.1,12.4,10.8,11.1,0,7
i2,3,10.9,11.4,7.6,10.0,14.4,13.6,9.0,11.4,0,4
i3,3,13.5,10.2,11.6,11.5,16.6,11.8,14.3,13.7,0,12
i4,3,15.1,13.4,15.7,14.1,17.4,15.4,17.8,16.3,0,11
i0,4,8.4,7.4,9.0,8.5,10.1,8.5,7.3,11.1,1,3
i1,4,9.3,10.9,9.9,9.3,12.2,14.7,11.5,9.8,0,8
i2,4,12.5,13.2,10.6,11.4,15.4,16.2,12.0,13.4,0,5
i3,4,13.2,13.5,14.1,13.0,16.7,16.8,16.9,15.7,0,13
i4,4,15.2,16.3,15.9,15.7,19.8,18.1,17.3,18.3,0,12
i0,5,8.6,9.1,9.3,8.4,10.5,11.7,12.5,11.1,1,4
i1,5,10.2,11.0,10.9,10.9,12.4,13.0,13.0,12.2,0,9
i2,5,13.5,13.3,13.3,14.3,16.6,15.4,16.4,16.1,0,6
i3,5,15.6,14.9,16.0,13.6,18.5,19.3,16.9,18.0,0,14
i4,5,15.0,19.5,19.3,17.2,16.5,24.0,22.6,21.9,0,13
i0,6,8.9,9.2,9.8,9.3,10.4,9.4,11.3,10.3,1,5
i1,6,12.3,12.2,11.1,12.3,13.9,15.2,13.2,15.3,0,10
i2,6,14.3,12.2,13.4,14.8,16.9,15.7,14.8,17.1,0,7
i3,6,16.1,16.9,16.5,15.4,17.9,20.1,18.9,20.1,0,15
i4,6,15.2,20.1,19.9,17.3,19.2,24.6,23.4,20.3,0,14
i0,7,8.8,11.2,11.3,9.8,10.0,13.7,14.7,11.4,1,6
i1,7,13.5,12.5,11.2,13.5,18.2,14.3,12.2,15.2,0,11
i2,7,14.2,12.2,13.5,16.0,15.9,13.3,14.8,19.0,0,8
i3,7,17.2,18.0,17.9,17.1,20.1,20.1,22.4,20.9,0,16
i4,7,15.9,21.0,19.8,16.3,19.2,24.2,24.7,19.6,0,15
i0,8,8.5,11.9,10.7,10.1,10.4,15.3,13.7,12.3,1,7
